Language,code,find_and_replace,print_preview_markdown,save_all,redo,configure,save_as,embed_image,cut,print_rendered_html,select_all,open_file,print_preview_raw_html,link_image,italic,print_menu,bold,new_file,image_menu,undo,export_pdf,link,copy,paste,set_colour,help_link,close_file,save_file,print_preview_rendered_html,print_raw_html,export_html,print_markdown
en_GB, Surround the highlighted area with code blocks (```), Raise the find and replace window, Shows a preview of the markdown before printing, Save all open documents, Redo the previous undo, Configure the program, Save the current document with a specified name, Embed a given image as bytes, Cut the highlighted area to the clipboard, Prints the HTML output as it will be rendered by a browser, Select all the text in the current document, Open an existing document, Shows a preview of the raw HTML code output before printing, Link to an image with the title of the surrounded area, Surround the highlighted area with emphasis (_), Opens the printing menu, Surround the highlighted area with strong emphasis (__), Start a new document, Opens a list of image options, Undo the previous change, Export the current document as a pdf file, Insert a link with the link text of the surrounded area, Copy the highlighted area to the clipboard, Paste from the clipboard to the current cursor location, Set the colour of the highlighted area to this colour, Opens the website for this product in your defualt browser, Close the currently open document, Save the current document, Shows a preview of the HTML output as it will be rendered by a browser before printing, Prints the raw HTML code output, Export the current document as html, Prints the markdown document
en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US,en_US
en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU,en_AU
de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE,de_DE
fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR,fr_FR
